Gas,"NFR/CRF Group",Source,Activity,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A2f,"Other industrial combustion","Scrap tyres",kilotonne,0.341332310089073,4.49544437560383,9.99639526465328,11.3655194094665,6.78231738044848,3.61877257281928,2.22280377071787,2.23636973076404,2.5215504716803,1.61135774093131,1.72041641527243,1.99624101950238,1.62881683233719
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion",Coal,kilotonne,379.21638217876,390.498135908064,328.894644893342,336.019413651242,357.062136985733,382.680040909091,416.309179065174,396.416975007463,397.976638117136,394.012919223327,339.284265945667,369.889057807022,327.831080303593
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Gas oil",kilotonne,5.84177592675083,4.6002842905042,4.82634096436943,7.58949150388418,5.41436170747525,8.92856467697551,7.08453513659413,6.83874917528986,5.96706010936121,4.46991978114064,3.78221929188763,4.50142713340704,5.01198480553671
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Natural gas",kilotonne,3.92804860379576,5.66713098017507,3.45424248842135,2.9540024758933,3.30649350439038,3.87501625438317,4.10060491356311,4.12297605337151,3.85485775103974,4.3050958746333,5.22351547422839,4.315997410825,4.50309859033265
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Petroleum coke",kilotonne,23.2162330520072,21.1159806134651,36.1732172662136,38.3393181648115,25.9879616191247,38.5546063636365,31.8062222279616,17.4569080494434,13.2981239740211,10.8398619583767,8.21617893622693,11.2278798501644,6.699
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Scrap tyres",kilotonne,46.5656516724798,53.1013658541798,46.9809920218986,52.6882044915183,56.3039214871828,44.9973898557893,48.9939902040526,49.2325407548128,49.1635841698779,47.0748709919952,41.2720253059485,39.9244072015677,31.7791672201892
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Waste oils",kilotonne,0.275372727272728,0.231684545454545,0.261000000000001,-,0.330786603010827,0.398300154981818,0.200394354545455,0.0635454545454547,0.288337500000001,0.220678589999999,-,0.417542727272728,0.442909090909092
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion",Waste,kilotonne,42.1430923758448,40.2136457829393,44.6899862226273,52.6165788210724,60.8011787564956,67.3695927282893,63.3967490934502,63.0356997453719,65.9531874657317,81.2658796592008,78.6033835609772,90.0612394466139,100.743375459005
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Waste solvent",kilotonne,43.5405921343091,40.0310624607709,37.1956561894801,38.0062427480606,29.0560833462868,39.8385409090909,44.6233307097338,49.9252138440173,48.0128947331652,52.3866994164414,44.735118061295,41.6779965296181,34.1926281869091
"Carbon Dioxide as Carbon",1A2f,"Cement production - combustion","Fuel oil",kilotonne,-,-,-,0.403461,-,-,0.103492581,-,0.110754,-,-,-,0.032523
